model,target,horizon,MSE,RMSE,MAE,MAPE,sMAPE,MASE
VAR,INDPRO,1,4.350283787389756e-05,0.0065956681142927106,0.004773876284923819,394.3273323167827,126.40635545325398,0.5762962773693141
VAR,INDPRO,3,5.139818808577323e-05,0.007169252965670359,0.004957140809448662,398.90737326840434,129.37171068067082,0.5984197378349868
VAR,INDPRO,6,5.751746198226884e-05,0.007584026765661421,0.005196121951037146,370.06755071872186,134.6082335117943,0.6272692374950121
VAR,INDPRO,12,6.0041206272853355e-05,0.007748626089369222,0.005290980816075965,346.1943630863769,136.04703053260755,0.6387204791139016
VAR,CPIAUCSL,1,9.105391986255571e-06,0.0030175142064712093,0.0019883883903998607,180.13974846242988,119.89408671919635,0.7308059416753369
VAR,CPIAUCSL,3,9.351587529003632e-06,0.0030580365480163303,0.0021053709102555494,178.06228855739045,137.8419635798484,0.7738013247682235
VAR,CPIAUCSL,6,9.44684922668568e-06,0.0030735727137462814,0.0021442240636110727,180.1982659276983,150.0235368591647,0.7880812891163002
VAR,CPIAUCSL,12,9.551485512991487e-06,0.003090547769084226,0.0021505856739259606,148.27209586480876,162.63377229190388,0.790419415127893
VAR,UNRATE,1,0.023501790397761978,0.15330293668994727,0.12444615564315527,190538563.88256842,144.33342712553966,0.6262230930164275
VAR,UNRATE,3,0.025101687254740365,0.15843512001680804,0.12759388717361778,173501941.651059,150.0050435788412,0.642062731973567
VAR,UNRATE,6,0.02671320626488715,0.16344175190228216,0.13102566454224232,167103231.74096435,155.3209492096097,0.6593317124994595
VAR,UNRATE,12,0.029446975921328573,0.17160121188770366,0.13512237757960804,128578871.63696182,164.25499593401216,0.6799467029441322
VAR,PAYEMS,1,1.0845073633055496e-06,0.001041396832771038,0.0007881094491511734,257.53698733940513,66.38947626296724,0.3675813977252652
VAR,PAYEMS,3,1.3304723440552863e-06,0.0011534610284076729,0.0008319165065473322,242.56532380462633,65.34114223489065,0.3880134067631649
VAR,PAYEMS,6,1.80776528864731e-06,0.0013445316242644907,0.0009093035961669678,235.34641286321354,67.74587354656693,0.4241074475070154
VAR,PAYEMS,12,2.4729253185130654e-06,0.0015725537569549301,0.0010170025882040524,266.3385888506989,72.35318707856005,0.47433923456302884
VAR,FEDFUNDS,1,0.07468701621724097,0.27328925375367574,0.1823792242777303,419125264.6505035,161.17074982252439,0.4110101971531297
VAR,FEDFUNDS,3,0.10266309732666687,0.3204108258574714,0.20549329663295787,495539621.1284034,166.31510633066296,0.4631001184331262
VAR,FEDFUNDS,6,0.08747314938582382,0.2957585998509998,0.19015182558074126,452794742.29380715,169.15887063383397,0.42852654753017916
VAR,FEDFUNDS,12,0.06422524262278856,0.25342699663372203,0.16018513599194237,363186553.11405194,168.5266893732578,0.36099355387535964
VAR,GS10,1,0.054692083809293836,0.23386338706452928,0.1728561694320293,41949471.01259725,142.445867346233,0.5840598043955199
VAR,GS10,3,0.06017868024211113,0.24531343265730707,0.17623726536286635,28561404.760049656,151.44752794408262,0.595484113024456
VAR,GS10,6,0.05807914252594357,0.2409961462885736,0.1741785858921074,25376411.28546676,158.16444820130314,0.5885280874862565
VAR,GS10,12,0.05227679732573659,0.22864119778757414,0.16644077555303974,18552306.12041194,162.53921532973104,0.5623829750038085
VAR,M2SL,1,1.2034784844765564e-05,0.0034691187418082942,0.0025043409721897053,177.08490010467847,123.93699689233758,0.8697675990288521
VAR,M2SL,3,1.5251077429483849e-05,0.0039052627862262803,0.002769856395123263,177.6436833592408,137.50924111042104,0.9619821634490189
VAR,M2SL,6,1.6379505553582735e-05,0.004047160183830476,0.002854270873901806,170.65815470457443,146.62107385128215,0.9912996483066374
VAR,M2SL,12,1.6631582427356907e-05,0.004078183716724506,0.002863272995639164,153.24360549756625,161.57563228149877,0.9944261210579982
VAR,HOUST,1,0.007070277178072032,0.08408494025729002,0.06654294265921287,0.9807614228945706,0.9790632024085764,0.4128048906287012
VAR,HOUST,3,0.010253965878411006,0.10126186783982906,0.07580445401054828,1.1210050836650383,1.116747482268485,0.4702594760086155
VAR,HOUST,6,0.017417689624204858,0.13197609489678372,0.09281102217218164,1.3783538370270267,1.3667782353456461,0.5757611900804779
VAR,HOUST,12,0.03996521206926849,0.19991301125556707,0.13247291463237987,1.9837882199245334,1.9488038655743272,0.8218071646777954
